condition,category,tasks,passed,rate,median_seconds,baseline_rate,lift_pp,rate_pct
current_router,constraint_following,20,20,1.0,1.293958832000044,1.0,0.0,100.0
current_router,execution_reasoning,20,20,1.0,2.048494319499923,1.0,0.0,100.0
current_router,safety_reasoning,20,0,0.0,2.082316145500272,1.0,-100.0,0.0
current_router,structured_output,20,12,0.6,1.1579447574999904,0.6,0.0,60.0
current_router,verification_reasoning,20,0,0.0,2.0993458070001907,0.0,0.0,0.0
no_skill,constraint_following,20,20,1.0,1.077732095500096,1.0,0.0,100.0
no_skill,execution_reasoning,20,20,1.0,1.4142610485002933,1.0,0.0,100.0
no_skill,safety_reasoning,20,20,1.0,0.7600045935000708,1.0,0.0,100.0
no_skill,structured_output,20,12,0.6,1.0523625039998024,0.6,0.0,60.0
no_skill,verification_reasoning,20,0,0.0,1.3247383870000249,0.0,0.0,0.0
v2_adaptive,constraint_following,20,20,1.0,1.321274725499734,1.0,0.0,100.0
v2_adaptive,execution_reasoning,20,20,1.0,1.2580305339999995,1.0,0.0,100.0
v2_adaptive,safety_reasoning,20,0,0.0,2.317193086000316,1.0,-100.0,0.0
v2_adaptive,structured_output,20,14,0.7,0.9967928964999828,0.6,9.999999999999998,70.0
v2_adaptive,verification_reasoning,20,20,1.0,1.850139960999968,0.0,100.0,100.0
v2_router,constraint_following,20,20,1.0,1.3379002495000805,1.0,0.0,100.0
v2_router,execution_reasoning,20,20,1.0,1.472780268499946,1.0,0.0,100.0
v2_router,safety_reasoning,20,0,0.0,2.337889839000127,1.0,-100.0,0.0
v2_router,structured_output,20,14,0.7,0.837224655,0.6,9.999999999999998,70.0
v2_router,verification_reasoning,20,0,0.0,1.4335728505002407,0.0,0.0,0.0
