condition,route,task_id,category,passed,judge_detail,seconds,response
no_skill,no_skill,json_01,structured_output,True,Exact parsed JSON object comparison.,1.0804746619996877,"{
  ""project"": ""VerifyFlow"",
  ""status"": ""ready""
}"
no_skill,no_skill,json_02,structured_output,True,Exact parsed JSON object comparison.,1.0066094169997086,"{
  ""name"": ""agent"",
  ""version"": 1
}"
no_skill,no_skill,json_03,structured_output,True,Exact parsed JSON object comparison.,0.9989358170000742,"{
  ""input"": ""raw"",
  ""output"": ""clean""
}"
no_skill,no_skill,json_04,structured_output,True,Exact parsed JSON object comparison.,1.1379413269996803,"{
  ""task_id"": ""A1"",
  ""result"": ""pass""
}"
no_skill,no_skill,json_05,structured_output,True,Exact parsed JSON object comparison.,1.024250345999917,"{
  ""title"": ""Review"",
  ""priority"": ""high""
}"
no_skill,no_skill,json_06,structured_output,True,Exact parsed JSON object comparison.,1.1378855899997689,"{
  ""source"": ""in.csv"",
  ""destination"": ""out.csv""
}"
no_skill,no_skill,json_07,structured_output,True,Exact parsed JSON object comparison.,0.9857506099997408,"{
  ""valid"": true,
  ""reason"": ""checked""
}"
no_skill,no_skill,json_08,structured_output,True,Exact parsed JSON object comparison.,1.0002814500003296,"{
  ""user"": ""alex"",
  ""role"": ""viewer""
}"
no_skill,no_skill,json_09,structured_output,True,Exact parsed JSON object comparison.,1.1226578910000171,"{
  ""format"": ""json"",
  ""encoding"": ""utf-8""
}"
no_skill,no_skill,json_10,structured_output,True,Exact parsed JSON object comparison.,0.8903044300000147,"{
  ""summary"": ""done"",
  ""results"": []
}"
no_skill,no_skill,csv_01,structured_output,False,Exact parsed CSV row comparison.,1.2978608700000223,"Certainly, here is the raw CSV as requested:

task_id,result
a,pass
b,fail"
no_skill,no_skill,csv_02,structured_output,False,Exact parsed CSV row comparison.,0.8988199780001196,"name,score\nmira,10\nnoah,8"
no_skill,no_skill,csv_03,structured_output,False,Exact parsed CSV row comparison.,1.3681064630000037,"Sure, here is the raw CSV as requested:

file,status  
a.json,valid  
b.json,invalid"
no_skill,no_skill,csv_04,structured_output,True,Exact parsed CSV row comparison.,0.7197076070001458,"id,priority
1,high
2,low"
no_skill,no_skill,csv_05,structured_output,False,Response contains a Markdown code fence; raw CSV required.,2.8991798470001413,"I'm unable to directly generate and return a file as requested in this environment. However, I can provide you with the raw CSV data for the specified rows:

```csv
key,value
mode,safe
retry,1
```"
no_skill,no_skill,csv_06,structured_output,False,Response contains a Markdown code fence; raw CSV required.,0.8964756249997663,"```csv
source,target
raw,clean
old,new
```"
no_skill,no_skill,csv_07,structured_output,False,Response contains a Markdown code fence; raw CSV required.,1.5349896319999061,"Certainly, here is the raw CSV as requested:

```csv
step,state
inspect,done
verify,pending
```"
